id,produto,funcionarios,vendas,clientes,preco,estoque
309,"Wine - White, Riesling, Semi - Dry",Clio Chatband,$628.56,Jerry Minichillo,$626.70,182
310,Watercress,Lorain Odegaard,$214.67,Hobard Ibberson,$107.14,646
311,Wine - Soave Folonari,Rianon Woodnutt,$417.14,Lindsay Orht,$259.21,520
312,Cheese Cloth No 60,Patrizius Spillman,$415.33,Fred Albers,$784.45,406
313,Ecolab - Hand Soap Form Antibac,Guenna Chastel,$458.96,Orella Brunn,$492.94,991
314,Coconut Milk - Unsweetened,Liliane Bartholin,$597.62,Doretta Arbon,$549.29,508
315,Tea - Apple Green Tea,Betsy Gwioneth,$970.48,Carlyn Andreev,$546.06,436
316,Pork - Back Ribs,Peirce Janton,$131.45,Abbot Swyer,$71.32,104
317,"Quail - Whole, Boneless",Bryan Horsey,$61.97,Kylynn Lynagh,$537.84,932
318,Flour - Cake,Ellswerth Kermath,$394.12,Benji Yousef,$437.23,107
319,Sour Puss Raspberry,Wit Hillett,$122.93,Kienan Bloxham,$598.42,857
320,Longos - Assorted Sandwich,Jude Bales,$506.45,Nicoli Menat,$532.81,516
321,Pastry - Chocolate Marble Tea,Joell Wiffill,$973.62,Arther Glazyer,$431.85,453
322,Squid - Tubes / Tenticles 10/20,Rhoda Gilbey,$763.36,Roanne Gilhespy,$415.33,287
323,Lamb - Ground,Ashton Whyteman,$85.53,Linnea Valenta,$475.61,872
324,Orange - Blood,Ethelred Paffett,$352.23,Clevie Rickersy,$510.62,567
325,Lettuce - Boston Bib - Organic,Stanleigh Winskill,$215.19,Tades Bigg,$552.85,220
326,"Coke - Diet, 355 Ml",Stephine Chesterman,$896.22,Chiarra Jeffray,$299.75,247
327,Soap - Mr.clean Floor Soap,Kiah Carradice,$358.06,Fanechka Pett,$199.46,352
328,Wooden Mop Handle,Mark Lapley,$720.40,Rochelle Unthank,$396.96,339
329,Cheese - Asiago,Kele Lemary,$429.03,Melody Rubinow,$494.19,242
330,Pepper - Pablano,Dale Kingsland,$353.78,Maure Warrillow,$935.37,223
331,Tomato Puree,Quintus Foldes,$11.55,Mahmoud Qusklay,$290.72,438
332,Wine - Magnotta - Cab Franc,Melodee Lief,$54.26,Evanne Loftus,$250.48,300
333,Wine - Wyndham Estate Bin 777,Noland Mattiazzo,$706.42,Efren Allder,$297.03,57
334,Lid Coffee Cup 8oz Blk,Nikolai Dommersen,$315.79,Antony Ferrettino,$482.60,241
335,"Rice Pilaf, Dry,package",Pam Skylett,$7.67,Sauveur Spoole,$922.69,268
336,Chevril,Deanna McCaffrey,$615.34,Hastie Kendell,$829.72,453
337,Flower - Commercial Bronze,Brendin Cartin,$391.77,Davin Bonanno,$560.08,788
338,Chicken - Wieners,Garth Boanas,$375.09,Roshelle Witz,$295.19,940
339,Cheese - Bakers Cream Cheese,Nial Braunston,$242.60,Emylee McNeish,$424.79,441
340,"Veal - Tenderloin, Untrimmed",Yorke Perassi,$593.71,Davy Gamlin,$752.68,194
341,Pickles - Gherkins,Kris Trinbey,$944.57,Adelina Ebbins,$719.83,13
342,Cookies Cereal Nut,Dorris Arpino,$961.61,Adelice Goble,$356.07,692
343,Water - Aquafina Vitamin,Shannan Gauvain,$587.92,Shell Kahane,$821.65,273
344,"Pasta - Orzo, Dry",Gusta Clinnick,$389.30,Doralia Daville,$792.26,622
345,"Trout - Rainbow, Fresh",Husein Fashion,$125.91,Merla Vigus,$4.16,553
346,Tea Peppermint,Lorinda Audsley,$348.46,Paula Topes,$569.12,519
347,Tray - 16in Rnd Blk,Pammy Jasiak,$539.72,Candice Justis,$158.26,467
348,Chicken Breast Halal,Elfrieda Mettricke,$143.57,Greg Spratley,$922.75,231
349,Garbag Bags - Black,Zelig Farr,$26.33,Timoteo Pawlick,$7.30,407
350,Cinnamon Rolls,Seana Merricks,$379.26,Patrizius Emeny,$460.13,669
351,"Chocolate - Semi Sweet, Calets",Valeria Naulty,$981.40,Thedric Hince,$496.26,995
352,Sloe Gin - Mcguinness,Broderick Labin,$998.23,Kerwin Anderl,$589.58,340
353,Ocean Spray - Ruby Red,Matthew Senogles,$981.62,Robby Scoles,$802.27,552
354,"Cheese - Boursin, Garlic / Herbs",Vilhelmina Jude,$672.37,Tine Tuerena,$797.43,984
355,Higashimaru Usukuchi Soy,Husain Fuidge,$92.67,Nealy Bourcq,$777.36,144
356,Cup - Translucent 7 Oz Clear,Maurise Duddell,$143.67,Winne Dobbson,$731.71,524
357,Filo Dough,Pattin Kell,$91.48,Vladamir Fenemore,$184.70,506
358,"Coffee - Beans, Whole",Tally Spensly,$14.15,Janean Cobbold,$875.84,130
359,Arizona - Green Tea,Silvio Cotelard,$929.72,Priscella Caudrey,$305.65,782
360,Cake - Night And Day Choclate,Conrad Schroder,$960.25,Tiphanie Siene,$608.61,837
361,"Bread - Sticks, Thin, Plain",Bridget Baillie,$139.13,Tyson Dodsworth,$148.81,975
362,"Lamb - Leg, Bone In",Tomas Lampe,$287.91,Powell Trustrie,$141.59,278
363,Wine - Ruffino Chianti Classico,Audy Llop,$768.77,Blanch Bolus,$294.08,887
364,Cheese - Sheep Milk,Brnaby D'eye,$910.34,Kip Chaves,$811.79,736
365,"Coffee - Colombian, Portioned",Nat Shubotham,$888.68,Wittie Castleman,$470.51,755
366,Wine - German Riesling,Bradley Blow,$622.79,Jule Kornacki,$675.38,479
367,"Sauce - Soya, Dark",Trisha McMechan,$249.89,Peterus Enevold,$781.23,285
368,Mousse - Mango,Beatrice Najera,$815.38,Ekaterina Cottage,$860.47,846
369,Island Oasis - Banana Daiquiri,Penni Sandry,$819.66,Isac Polson,$837.73,216
370,Rye Special Old,Aubry Perot,$314.88,Ivor Dee,$810.00,23
371,Ice Cream - Turtles Stick Bar,Stefa Washbrook,$909.19,Quintina Ingyon,$682.16,632
372,Mudslide,Cathe McGill,$992.35,Gracie Haydock,$396.41,625
373,Swiss Chard,Jonah Queripel,$32.56,Arlen Boobier,$589.54,646
374,Rabbit - Frozen,Fred Croster,$529.58,Ky Borne,$124.20,462
375,"Stock - Veal, Brown",Andreas Skydall,$752.00,Langsdon Dimsdale,$745.76,334
376,"Fish - Soup Base, Bouillon",Chico Icom,$917.81,Nance Smithe,$799.26,743
377,Knife Plastic - White,Kevan Ballston,$579.84,Beverley Mainds,$80.39,650
378,"Soup - French Onion, Dry",Teriann Shafto,$762.70,Gustie Shallcroff,$326.99,230
379,Pastry - Butterscotch Baked,Ashien Ledgister,$203.26,Minna Harland,$392.92,844
380,Wine - Penfolds Koonuga Hill,Ardene Mallett,$404.48,Bernard MacGahy,$246.50,496
381,Pastry - Chocolate Chip Muffin,Jeni Utley,$708.29,Annie Gorcke,$382.50,351
382,"Coffee - Colombian, Portioned",Sherline Monsey,$781.57,Samson Pervew,$727.01,288
383,Chocolate - Unsweetened,Tiebout Deners,$552.67,Fiorenze Nafzger,$460.29,924
384,Praline Paste,Frazer Worley,$879.50,Vicky Toffetto,$693.53,443
385,"Veal - Inside Round / Top, Lean",Timotheus Bover,$602.38,Neville Beccles,$349.79,397
386,Sauce - Vodka Blush,Carma Spofforth,$238.97,Mindy Hethron,$174.09,165
387,Spice - Chili Powder Mexican,Nessa Toun,$752.30,Weber Vossgen,$752.22,621
388,Crackers Cheez It,Barnard Hoonahan,$968.62,Isis Storre,$332.11,684
389,Zucchini - Green,Asia Gouley,$749.72,Durward Urwin,$644.82,912
390,Vinegar - Cider,Jessee Bodleigh,$567.47,Tommie Knatt,$619.25,633
391,"Cod - Salted, Boneless",Pauline Kreber,$972.34,Barrie Letford,$997.45,172
392,"Doilies - 7, Paper",Lilias Svanetti,$211.13,Galen Sinnatt,$330.42,129
393,Duck - Legs,Laurianne Rysdale,$797.98,Gavin Crocker,$498.63,848
394,"Coconut - Creamed, Pure",Abran Ivashov,$902.17,Bert Riste,$640.88,413
395,Kahlua,Kelvin Dimnage,$64.66,Worth Cram,$934.47,896
396,"Ecolab - Orange Frc, Cleaner",Doretta Petrie,$358.75,Arnold Gotobed,$585.17,749
397,Cheese - Montery Jack,Welbie Clist,$80.53,Dayle Garroway,$738.11,605
398,"Lid - 10,12,16 Oz",Keith Norkett,$670.25,Lemmie Alleway,$126.78,344
399,Chips Potato All Dressed - 43g,Claudell Burling,$282.61,Fredericka Trevains,$756.23,952
400,Ice Cream - Strawberry,Ashia Peachment,$591.42,Harwell Krystek,$947.48,721
401,Water - Evian 355 Ml,Drusie Axelbey,$450.30,Shaylyn Brogi,$427.31,460
402,Long Island Ice Tea,Rowe Crummay,$545.45,Vonny Aggett,$431.44,841
403,Lemon Grass,Jermaine Refford,$861.75,Thorstein Tomasello,$332.53,151
404,Asparagus - Mexican,Cesare Millimoe,$94.75,Lissa Saltmarsh,$839.41,705
405,"Lid - High Heat, Super Clear",Melodie Baldick,$88.27,Lewes Mulliss,$587.02,355
406,"Soup - Knorr, Ministrone",Darrel MacAllester,$519.39,Roana Benda,$783.32,838
407,Water - Evian 355 Ml,Jacqui Carrabot,$3.91,Dorena Ecles,$549.24,323
408,Port - 74 Brights,Giulietta Bolger,$861.54,Giavani Masdon,$64.38,396
409,Tea - Mint,Rossie Goulborn,$237.41,Kristofor Bispo,$560.83,686
410,Icecream Cone - Areo Chocolate,Meriel Dobbs,$843.45,Lorita Ida,$581.96,888
411,"Mushroom - Chantrelle, Fresh",Lisetta Bernhard,$134.27,Foss McLae,$326.52,927
412,"Soup - French Onion, Dry",Hyacinthe Lampitt,$248.54,Catriona Rollason,$530.65,466
413,Sugar - Icing,Melodie Afonso,$692.52,Ervin Phare,$818.87,775
414,Croissants Thaw And Serve,Dick Tallant,$270.86,Graig Rubens,$827.42,56
415,Dill Weed - Fresh,Keelia Jursch,$756.68,Leonhard Donavan,$477.77,757
416,The Pop Shoppe - Lime Rickey,Dorree Hilldrup,$479.23,Lind Crookall,$694.31,708
417,Tamarillo,Eveline MacCole,$75.11,Wileen Lemoir,$312.98,754
418,"Artichoke - Bottom, Canned",Tildie MacCaughan,$930.82,Marne Attkins,$128.82,941
419,Red Pepper Paste,Elicia Greenhaugh,$982.22,Georg Fulger,$788.53,117
420,Sambuca - Opal Nera,Madlen Forbear,$729.77,Randie Troubridge,$854.43,859
421,Wine - Cabernet Sauvignon,Randene Hunnisett,$280.93,Patrizio Jago,$91.00,79
422,"Crab - Dungeness, Whole, live",Chery Trencher,$727.97,Myranda Barehead,$780.44,211
423,Bread - Granary Small Pull,Doy Richmond,$6.41,Tandi Jorg,$139.91,379
424,Wine - Spumante Bambino White,Marlie Fitkin,$783.62,Anselm Pietron,$988.33,993
425,Nantucket - Pomegranate Pear,Laurence Snell,$846.46,Sergent Doughill,$622.59,321
426,"Salmon - Smoked, Sliced",Ajay Philipard,$113.54,Forest Bougourd,$679.66,152
427,Bag Clear 10 Lb,Jeremias Kerins,$121.87,Livy Fromant,$691.41,71
428,Chocolate Eclairs,Nelie Webborn,$780.85,Vernor Scorrer,$582.92,793
429,"Wine - White, Riesling, Henry Of",Skylar Rupel,$100.95,Vaclav Beatey,$140.87,599
430,Tea - Herbal Orange Spice,Gunther Rodda,$736.51,Huey Redmain,$707.37,930
431,Cheese - Feta,Uriah Lawly,$890.35,Stewart Tremelling,$102.98,208
432,Beef - Diced,Darrell Rolance,$476.66,Gav Derycot,$61.81,994
433,Cake Sheet Combo Party Pack,Karon Ebsworth,$337.77,Ottilie Scinelli,$667.28,634
434,Skirt - 29 Foot,Rhody Fender,$743.40,Burk Trussman,$404.77,143
435,Tomato Puree,Jamaal Coale,$866.73,Codie Wong,$169.44,290
436,Wine - Pinot Grigio Collavini,Meggi Gohn,$779.19,Krystyna Hefford,$139.52,748
437,Foil Wrap,Karly Sainter,$416.53,Jilli Upchurch,$758.31,948
438,Flour - So Mix Cake White,Ema Lung,$287.90,My Tesh,$996.55,841
439,Bread - Focaccia Quarter,Lynette Learoid,$894.59,Aubrie Garnson,$675.94,942
440,"Wine - Red, Harrow Estates, Cab",Angel Drabble,$119.25,Frances Pillman,$602.68,75
441,"Juice - Pineapple, 48 Oz",Ennis Cadwallader,$381.85,Brit Kalinsky,$847.26,306
442,Daves Island Stinger,Nicol Stucksbury,$402.19,Kim Jurzyk,$390.46,688
443,Wine - Port Late Bottled Vintage,Whitney Horbath,$170.75,Alvin Willeman,$55.88,55
444,Wine - Port Late Bottled Vintage,Kenn Stiffell,$658.80,Zacherie Houlahan,$339.70,95
445,Wine - Zonnebloem Pinotage,Jennee De Francisci,$868.78,Zechariah Eynaud,$886.97,688
446,Soupfoamcont12oz 112con,Sidnee Dederich,$467.27,Dorisa Salvin,$761.86,464
447,"Pork - Ham, Virginia",Matilde O'Lahy,$756.25,Court Critoph,$912.58,771
448,Bread Country Roll,Fawnia Sherman,$550.96,Rachael Busse,$238.31,67
449,Bagel - Whole White Sesame,Quentin Calrow,$67.03,Cobb Ashburne,$612.65,25
450,Nantucket Cranberry Juice,Bax Piwall,$880.24,Tirrell Allwright,$779.32,585
451,Sardines,Montague Whylie,$182.29,Joane Cleere,$590.43,695
452,Wine - Zinfandel Rosenblum,Genia O'Donnelly,$58.32,Georgy Slowly,$786.38,662
453,Beef - Tender Tips,Julietta Waters,$769.17,James Morter,$473.43,376
454,Strawberries - California,Billi Antcliff,$361.17,Iolande L'Amie,$781.34,59
455,Coffee - Hazelnut Cream,Terry Jordison,$204.42,Vivianne de'-Ancy Willis,$20.50,543
456,Duck - Breast,Kirsti Samples,$352.57,Ailene Roadknight,$146.57,464
457,Cup - 4oz Translucent,Marya Tennock,$278.45,Maynard Stiell,$819.81,393
458,Spic And Span All Purpose,Shannah Johantges,$617.85,Lulu Smiz,$803.19,291
459,Arizona - Plum Green Tea,Dorolisa Lucien,$550.17,Mandy Dufty,$259.87,686
460,Corn Kernels - Frozen,Horatius Pitford,$698.30,Van Hurdle,$976.47,118
461,Onion - Dried,Miran Dandie,$540.61,Eveline Fortnum,$627.96,393
462,Instant Coffee,Ilysa Benes,$178.33,Josefa Doelle,$268.48,261
463,Sugar - Monocystal / Rock,Sullivan Harlow,$656.45,Hildagarde Palffrey,$101.25,837
464,"Chicken - Breast, 5 - 7 Oz",Camile Houndsom,$742.68,Brennan Kezor,$411.77,328
465,Trueblue - Blueberry,Ianthe Webermann,$482.93,Elmo Mackness,$322.26,873
466,Zucchini - Green,Cornell Dimitrie,$717.33,Jermain MacAlees,$615.70,625
467,Bread - Raisin,Rutger Searle,$411.69,Wally McCambrois,$346.82,379
468,Creme De Banane - Marie,Justina Stiddard,$875.48,Lamar Curedale,$643.46,205
469,Bread - White Epi Baguette,Eduard Marc,$931.64,Ximenes Zaniolo,$115.29,644
470,"Sauce - White, Mix",Everett Noar,$155.00,Darrell Gabites,$285.83,859
471,Aspic - Light,Camile Cochrane,$729.74,Yardley Chasmor,$298.52,47
472,Muffin Carrot - Individual,Maire Kimbrey,$721.63,Elton Cozins,$624.76,862
473,Squeeze Bottle,Ermin Pothbury,$75.13,Sherrie Hegdonne,$994.55,742
474,V8 - Tropical Blend,Dosi Geram,$477.06,Giulietta Sanney,$970.67,139
475,Sesame Seed Black,Arlin Wretham,$891.08,Baryram Tottem,$230.74,310
476,Foam Dinner Plate,Ingeberg Scheffler,$629.49,Renata Chugg,$819.30,878
477,Shallots,Louise Francois,$454.28,Arluene Anger,$750.50,579
478,Cornstarch,Noami Jenkyn,$401.92,Kiele Ell,$461.52,84
479,Wine - Cotes Du Rhone,Rafe Munnis,$867.42,Eadie Momford,$199.60,111
480,Ginger - Fresh,Lyndy Widocks,$236.63,Luciano Duncklee,$965.73,272
481,Pear - Halves,Essy Twiddle,$489.48,Markos Loadwick,$229.24,692
482,Pepper - Gypsy Pepper,Adara Vayne,$504.76,Ransell Zettler,$127.03,215
483,"Crush - Orange, 355ml",Sybille Ganter,$101.81,Artair Healing,$480.18,723
484,Lettuce - Boston Bib,Anabella Loach,$518.76,Fanechka Longstaff,$150.18,363
485,Danishes - Mini Cheese,Laina Mossbee,$962.69,Borg Critchley,$152.83,471
486,Tart - Raisin And Pecan,Daisie Greatbank,$991.10,Petra Leftwich,$8.73,78
487,"Tomatoes - Plum, Canned",Engelbert Martonfi,$355.62,Lisetta Kennady,$820.59,490
488,Quiche Assorted,Durante Prahm,$717.79,Lammond Polak,$974.76,36
489,Thermometer Digital,Ange Dulieu,$938.31,Wilona Packe,$236.73,668
490,Beer - Fruli,Tiebold Chaldecott,$759.20,Cello Klimpke,$991.44,732
491,The Pop Shoppe - Lime Rickey,Elias Chinn,$682.11,Christiana Kingman,$373.06,245
492,"Lentils - Red, Dry",Madison Borthram,$624.26,Tana Farran,$915.45,848
493,"Syrup - Monin, Amaretta",Hart Sutehall,$547.81,Griselda Molson,$249.60,615
494,Vaccum Bag 10x13,Nell Bretton,$649.80,Rad Wyard,$507.39,43
495,Nut - Pumpkin Seeds,Melloney Retallack,$805.80,Aryn Behnecke,$726.95,422
496,Nescafe - Frothy French Vanilla,Genovera Roizn,$120.37,Hadrian Gwyneth,$504.27,505
497,Muffin Mix - Blueberry,Timmi Waycot,$280.30,Towny Pilling,$226.15,47
498,"Quail - Eggs, Fresh",Sharyl Fergyson,$902.50,Emelita Piatkowski,$983.73,806
499,Apricots - Halves,Orsa Siverns,$3.83,Ciel Edmunds,$246.38,842
500,Rabbit - Frozen,Windy Wantling,$881.81,Celestyn Knudsen,$657.50,421
501,Country Roll,Imogene Cockrill,$953.44,Bobbi Walters,$205.89,166
502,Cookies Oatmeal Raisin,Curr Tolchard,$790.06,Dannye Marcome,$127.03,75
503,Raisin - Golden,Wain Zohrer,$421.10,Lilia Brownrigg,$933.19,867
504,Appetizer - Sausage Rolls,Hallie Farnaby,$778.83,Chelsy Pim,$687.40,786
505,Orange Roughy 4/6 Oz,Traci Jeandin,$900.50,Mia Doni,$480.32,939
506,Pork Salted Bellies,Sally Murton,$158.53,Rosalinde Coulter,$687.87,965
507,"Coke - Diet, 355 Ml",Ronald Halgarth,$494.96,Fonz de Clercq,$188.41,216
508,Soup - Campbells Beef Noodle,Renato Fletcher,$601.13,Damaris Tuckley,$612.52,371
509,Table Cloth 54x54 Colour,Nehemiah Maguire,$765.01,Katharyn Tremethack,$879.90,685
510,Bread Base - Goodhearth,Lissie Yeeles,$171.35,Farlee Hatfield,$202.03,101
511,Ice Cream Bar - Drumstick,Luther Newland,$954.88,Ashby Gellier,$202.06,756
512,"Cheese - Brie, Triple Creme",Mae Dimmack,$750.38,Ky Lumbers,$413.56,55
513,Tea - Vanilla Chai,Adriaens Rassell,$423.26,Pearl Proschke,$129.30,194
514,Sterno - Chafing Dish Fuel,Launce Scrivens,$943.13,Nicholas Skynner,$165.15,350
515,Pasta - Orecchiette,Loutitia Halahan,$203.91,Celestyna Gullifant,$674.31,568
516,Appetizer - Escargot Puff,Joelly Spohrmann,$457.65,Rosa Mack,$58.21,74
517,"Crab - Back Fin Meat, Canned",Lusa Gawen,$285.54,Ashley Sehorsch,$582.86,502
518,Soup - Base Broth Beef,Elbert Stonier,$341.42,Tammie Keune,$391.07,538
519,Tea - English Breakfast,Franzen Condell,$704.56,Augusto Cohr,$142.73,559
520,Fond - Neutral,Kaile Proudler,$229.50,Gisele Skocroft,$78.40,267
521,Roe - White Fish,Mikaela Siburn,$241.65,Dre Luddy,$288.91,254
522,Sugar - Invert,Shel Feckey,$916.43,Urbano Morad,$235.03,696
523,Beef - Rib Eye Aaa,Berkly Duffie,$310.31,Philbert Shewery,$306.56,971
524,Grapes - Red,Cary Rive,$358.57,Reinwald Goatman,$590.77,220
525,Island Oasis - Cappucino Mix,Gwen Tedahl,$398.08,Bel Kidner,$11.39,114
526,Oneshot Automatic Soap System,Jessa Ogus,$528.22,Carma Buncher,$456.35,782
527,Muffin Batt - Ban Dream Zero,Barrett Papierz,$212.18,Shena Eles,$151.74,473
528,Pork - Liver,Nefen Gerasch,$330.56,Mari MacArte,$388.25,697
529,Butter - Pod,Carey Edworthy,$26.17,Susi Bausor,$743.73,64
530,Sambuca - Ramazzotti,Jourdan Castro,$244.45,Merline Guilaem,$753.98,211
531,Liqueur - Melon,Germana Fowls,$565.76,Colene Risebarer,$437.41,36
532,"Wine - Magnotta - Red, Baco",Aubrette Prisley,$632.19,Corena Dahl,$381.49,21
533,Tea - Grapefruit Green Tea,Eugenio Witty,$87.33,Thea Bantick,$715.14,199
534,Fennel,Tripp Shipston,$970.91,Griselda Ulster,$688.10,335
535,Lemonade - Pineapple Passion,Caressa Dennert,$228.67,Cecilla Aglione,$314.18,881
536,Potato - Sweet,Valaree Nudds,$644.75,Cate Jedryka,$329.39,819
537,Cheese - Cream Cheese,Meredeth Cadlock,$338.74,Fifine Firks,$254.80,211
538,Water - Evian 355 Ml,Anni Duinbleton,$19.59,Jackie Bellenger,$363.55,699
539,Beef - Striploin Aa,Crichton Lawden,$335.90,Annadiane De Lorenzo,$647.54,813
540,Wine - Prosecco Valdobienne,Gerard Liggons,$273.93,Darb Radbourne,$355.86,654
541,Nantucket Apple Juice,Niko Rundle,$263.50,Julio Scritch,$588.50,900
542,"Pasta - Lasagna, Dry",Corney Dilnot,$100.12,Marge Jeroch,$363.21,39
543,Pectin,Robinette Wieprecht,$494.38,Agnella Pretswell,$401.30,370
544,Lamb - Shanks,Tuckie Vanyashin,$288.23,Eugenius Dimbleby,$276.77,108
545,Cocoa Butter,Randene Vaulkhard,$108.10,Rossie Choppen,$179.08,628
546,Wine - Ice Wine,Isidora Sallings,$601.31,Norton Gretham,$556.05,519
547,Transfer Sheets,Rodney Pawelczyk,$352.41,Arnoldo Oluwatoyin,$471.02,724
548,Cheese - Cream Cheese,Matias Caudelier,$923.35,Shaun Dreini,$567.53,488
549,"Wine - White, Ej",Dorothee Weinberg,$988.63,Cornall Horburgh,$650.54,806
550,Bread - Petit Baguette,Dannie Gadeaux,$911.30,Ambrosi Triggle,$823.51,900
551,Cookie Chocolate Chip With,Waylin Barhem,$379.59,Chandler Cackett,$674.26,798
552,Chevere Logs,Colby Yanez,$189.50,Gawen McKaile,$734.26,866
553,Bread - Raisin Walnut Pull,Ariella Vossing,$719.18,Eugenie Giovannelli,$202.12,2
554,Chinese Foods - Cantonese,Mira Woakes,$821.31,Fowler Cowherd,$873.81,85
555,"Cherries - Bing, Canned",Alvie Adame,$294.77,Adelice Leaver,$653.00,330
556,Tomatoes,Mattie Curdell,$868.84,Ellsworth Shoebrook,$946.21,696
557,Mustard - Individual Pkg,Gustav Farryann,$713.37,Electra Cornwall,$60.23,513
558,Chinese Foods - Chicken Wing,Harbert Haslegrave,$85.65,Elisha Hardware,$158.98,800
559,Ezy Change Mophandle,Aaron Denerley,$589.45,Haywood Augur,$626.27,603
560,Soup Campbells - Italian Wedding,Arv Vines,$6.98,Neda Abrahams,$363.97,514
561,Beef - Bresaola,Norman Langran,$422.81,Sly Hawkswood,$32.81,302
562,"Chocolate - Milk, Callets",Batsheva Gionettitti,$537.18,Jackie Mirfield,$513.19,345
563,Cumin - Whole,Fredi Balloch,$927.40,Electra Renachowski,$288.60,306
564,Pears - Bosc,Aloisia Cockerill,$7.61,Kania Matityahu,$408.06,113
565,"Juice - Tomato, 10 Oz",Cathe Mantha,$272.05,Vinni Crabtree,$326.46,138
566,Steamers White,Miles Gelsthorpe,$331.71,Gwendolen Borham,$126.02,922
567,Flower - Daisies,Ansel Schade,$641.34,Gun Vuitton,$891.15,66
568,Wine - Montecillo Rioja Crianza,Avis Mawhinney,$388.95,Sigismondo Walmsley,$521.00,519
569,Mushroom - Chanterelle Frozen,Candis Ferandez,$974.81,Elfreda Wilsone,$613.07,172
570,Cheese - St. Andre,Keeley Arrighetti,$593.89,Fabio Varnes,$693.23,432
571,Cheese - Grie Des Champ,Karon Renner,$881.57,Erastus Gehricke,$630.48,400
572,Paper Cocktail Umberlla 80 - 180,Verena Chaplyn,$704.96,Lorine Wrate,$722.94,543
573,Truffle Cups Green,Son Allnatt,$114.44,Loralee Chard,$360.06,244
574,Wine - Segura Viudas Aria Brut,Gabe Laidel,$320.03,Andy Varvell,$99.38,626
575,Fudge - Cream Fudge,Jerrie Mirando,$947.58,Nertie Rayner,$763.84,310
576,Lettuce - Treviso,Lorettalorna Flowers,$181.70,Selestina Tunstall,$586.43,824
577,Snapple Lemon Tea,Nanni Braune,$385.10,Edna Karby,$342.68,377
578,Beef Tenderloin Aaa,Johannah Bollis,$589.84,Aloysia Piner,$535.00,488
579,"Veal - Brisket, Provimi,bnls",Appolonia Gillow,$863.69,Maryanna Chmarny,$212.05,967
580,Pastry - Baked Scones - Mini,Kaylee Roe,$645.25,Nicki Fishlee,$817.38,193
581,Rabbit - Legs,Wanda Main,$672.62,Ruprecht Schindler,$739.90,605
582,Wine - Vineland Estate Semi - Dry,Caritta Frears,$526.75,Elvera Bransgrove,$715.39,669
583,Cheese - Mix,Konrad Josselsohn,$393.21,Keene Pumphreys,$795.03,298
584,Silicone Parch. 16.3x24.3,Prissie Dawidowicz,$185.61,Berke Tesdale,$298.20,295
585,Cookie Dough - Chunky,Taddeo Lamont,$98.26,Zonnya Carverhill,$639.94,632
586,"Wine - Mas Chicet Rose, Vintage",Berta Treat,$581.87,Daniela Martindale,$511.91,419
587,Venison - Racks Frenched,Tuckie Willock,$337.50,Cassandry Zeplin,$552.34,876
588,Wonton Wrappers,Winna Matityahu,$951.01,Frayda Lago,$789.81,908
589,Bag Stand,Una Witheford,$845.34,Richmond Pidduck,$93.72,715
590,Truffle Cups - White Paper,Karoly Laurence,$479.51,Mufi Gilbody,$705.13,528
591,Beef Wellington,Borden Mertel,$280.63,Nickolas Lambarth,$300.29,59
592,Turkey Tenderloin Frozen,Isobel Ringrose,$188.73,Leelah Golly,$132.70,525
593,"Pork - Back, Short Cut, Boneless",Filmore Hegel,$749.69,Tiler Slight,$406.36,10
594,Pastry - Apple Large,Norene Withur,$780.73,Brett Toma,$600.42,6
595,Bonito Flakes - Toku Katsuo,Delmer Ingham,$986.42,Lucian Skittreal,$481.87,991
596,Sprouts - Baby Pea Tendrils,Belle McDougald,$255.63,Happy Seth,$244.41,279
597,"Tomatoes - Cherry, Yellow",Peterus Robun,$47.16,Regina Jameson,$84.51,198
598,Bread - English Muffin,Mathew Bemment,$549.82,Pippy Cotterill,$964.80,688
599,Flour - Chickpea,Kelvin Kershaw,$174.67,Ellie Westcott,$677.36,567
600,Rice - Sushi,Nicolis MacClenan,$651.91,Kory Blacksland,$767.11,960
601,Appetizer - Chicken Satay,Morse Housby,$201.18,Levy Dreier,$678.44,914
602,Table Cloth - 53x69 Colour,Livia Craik,$162.86,Felike Larratt,$214.31,984
603,"Pork - Ham, Virginia",Kelby Shower,$200.09,Nanete McCooke,$570.86,846
604,Spice - Chili Powder Mexican,La verne Cockshoot,$238.32,Carlynne Hatter,$887.53,895
605,Syrup - Monin - Passion Fruit,Jackelyn Foyster,$486.69,Elna Luard,$598.38,152
606,Cheese - Parmesan Grated,Hillier Scough,$761.29,Artair Vahl,$609.66,969
607,Pork - Caul Fat,Patrizio Scryne,$374.62,Caron O'Henecan,$753.29,770
608,Beer - Pilsner Urquell,Yorgo Beavers,$421.40,Leonard Pacitti,$861.69,354
609,Bread Base - Toscano,Conni Newbold,$252.90,Avis Elstob,$943.53,853
610,Praline Paste,Sisely Winney,$107.80,Anastasia Feifer,$945.59,328
611,Flower - Carnations,Stormy Reuven,$8.02,Elaina Dubock,$474.09,30
612,Sugar - Brown,Nichols Ballchin,$784.27,Codi Mandrake,$637.12,460
613,Table Cloth 53x53 White,Cleopatra Glavias,$760.50,Ardis Van der Mark,$720.98,284
614,Crab Meat Claw Pasteurise,Carole Coetzee,$903.04,Elbertine Ivashev,$302.32,968
615,Gatorade - Fruit Punch,Shawn Zorzenoni,$243.82,Mortimer Ludmann,$449.58,316
