id,produto,clientes,funcionarios,vendas,estoque
439,Soap - Pine Sol Floor Cleaner,Cissy,Clerkclaude,$3.10,3
440,Veal - Leg,Chan,Keeley,$6.35,7
441,Tea - Grapefruit Green Tea,Brittan,Ruthe,$9.06,43
442,Bread - Malt,Jori,Neale,$4.89,59
443,Pastry - Mini French Pastries,Barney,Gaile,$6.75,58
444,Meldea Green Tea Liquor,Sheena,Pen,$8.51,76
445,Pastry - Lemon Danish - Mini,Culley,Clayton,$5.55,6
446,Lid Coffeecup 12oz D9542b,Yetty,Kristel,$2.95,25
447,Oven Mitts 17 Inch,Ronnie,Britni,$4.69,85
448,Cake - Cake Sheet Macaroon,Arlena,Charis,$3.15,1
449,Pork - Backfat,Sonja,Maybelle,$3.28,84
450,Pork - Bones,Evangelina,Ardyce,$1.85,25
451,"Sauce - Apple, Unsweetened",Boy,Murdoch,$9.82,7
452,Wine - Merlot Vina Carmen,Liz,Sacha,$0.76,60
453,"Bread - Dark Rye, Loaf",Rosalie,Cherlyn,$7.42,32
454,"Bread - Roll, Calabrese",Peder,Betteann,$1.56,42
455,"Pepper - Paprika, Spanish",Bonnee,Carola,$2.43,39
456,Vegetable - Base,Olenolin,Jerad,$8.45,66
457,Beef - Short Ribs,Ilario,Dulci,$8.65,44
458,Coffee Caramel Biscotti,Franky,Jamesy,$6.08,89
459,Berry Brulee,Susette,Merola,$4.99,71
460,Wine - Dubouef Macon - Villages,Roderigo,Chic,$6.14,53
461,Devonshire Cream,Willie,Jeramie,$7.04,57
462,White Fish - Filets,Wilfrid,Marshall,$2.78,20
463,"Plate - Foam, Bread And Butter",Stillman,Teador,$2.13,35
464,Puree - Kiwi,Humbert,Sig,$7.15,59
465,Sugar Thermometer,Nickolaus,Travis,$0.90,38
466,Initation Crab Meat,Jessalyn,Obadiah,$2.19,67
467,Wine - Riesling Alsace Ac 2001,Kayla,Zoe,$2.78,55
468,Pizza Pizza Dough,Gasper,Terri,$4.41,27
469,Pork Ham Prager,Vasily,Nataniel,$9.65,73
470,Lid - 0090 Clear,Silvana,Brunhilda,$1.60,94
471,Lid Coffee Cup 8oz Blk,Ali,Verney,$1.38,14
472,"Apple - Delicious, Golden",Darbie,Madlen,$9.47,24
473,Bread - Italian Sesame Poly,Bonita,Tully,$5.32,4
474,Port - 74 Brights,Gage,Tore,$7.34,69
475,Wine - Black Tower Qr,Barbra,Enrica,$2.26,23
476,Barramundi,Jorey,Curtice,$9.28,18
477,Cheese - Grana Padano,Eydie,Alaine,$8.65,51
478,Cheese Cloth No 100,Milli,Silvio,$5.51,60
479,Appetizer - Escargot Puff,Chantalle,Oby,$5.62,44
480,"Lemonade - Black Cherry, 591 Ml",Calhoun,Jedediah,$9.58,11
481,Berry Brulee,Von,Leonelle,$10.00,45
482,Coffee - Irish Cream,Lonnie,Lucian,$3.65,37
483,Capicola - Hot,Karlyn,Myrtice,$3.31,54
484,"Yogurt - Banana, 175 Gr",Chrisy,Jolee,$3.97,87
485,Godiva White Chocolate,Melinda,Margret,$4.98,2
486,Shrimp - Tiger 21/25,Edgardo,Sorcha,$1.80,95
487,"Onions - Dried, Chopped",Lucia,Regan,$1.37,37
488,Rice - Wild,Malachi,Aloysius,$3.94,17
489,Orange Roughy 4/6 Oz,Christina,Salvatore,$0.85,79
490,Cape Capensis - Fillet,Toddie,Johnny,$9.83,84
491,Flavouring - Orange,Madalyn,Yvor,$7.29,78
492,"Bread - Roll, Whole Wheat",Jenni,Edgardo,$9.76,15
493,Bread Ww Cluster,Peyter,Cyrus,$6.32,1
494,Anchovy Fillets,Skipton,Eba,$6.85,86
495,Carroway Seed,Wilburt,Ole,$4.83,52
496,Tea - Black Currant,Christian,Eran,$7.71,27
497,"Crab - Claws, Snow 16 - 24",Tonnie,Bank,$7.30,75
498,"Juice - Clam, 46 Oz",Giles,Inger,$6.76,100
499,Green Scrubbie Pad H.duty,Tracey,Ramsay,$1.35,42
500,Bar Nature Valley,Englebert,Allistir,$2.92,38
501,Sprouts Dikon,Cordelie,Laurene,$6.18,61
502,Bread - Mini Hamburger Bun,Cordi,Chaddy,$3.53,80
503,Dome Lid Clear P92008h,Cherilyn,Jeremiah,$3.99,15
504,Cocoa Butter,Hannie,Alexia,$6.34,87
505,Sesame Seed Black,Renee,Niki,$5.68,82
506,Pie Shells 10,Addie,Kelby,$7.18,82
507,Beef - Short Ribs,Evangelia,Viv,$3.28,80
508,"Lettuce - Romaine, Heart",Daniel,Benedict,$4.34,88
509,"Napkin - Dinner, White",Jody,Franni,$3.94,60
510,Veal - Sweetbread,Hinda,Kirsti,$2.06,38
511,Petit Baguette,Jessie,Chase,$5.87,49
512,Sandwich Wrap,Lucia,Barrett,$0.27,5
513,"Soda Water - Club Soda, 355 Ml",Hermy,Curran,$2.51,63
514,Tray - 16in Rnd Blk,Margeaux,Micaela,$0.03,15
515,Beef - Bresaola,Kingsly,Dulcy,$8.83,91
516,Pectin,Timothea,Ambrosius,$1.05,61
517,Flour - Whole Wheat,Charmion,Lillian,$9.82,20
518,"Wine - White, Antinore Orvieto",Ashia,Brady,$7.50,44
519,"Mushroom - Oyster, Fresh",Nobe,Clementina,$0.70,53
520,Cake - French Pear Tart,Chelsie,Adan,$4.52,42
521,"Pepper - White, Whole",Teresa,Danielle,$4.43,77
522,Sage Derby,Caddric,Elisha,$8.44,66
523,Jello - Assorted,Cordi,Jackson,$4.40,8
524,"Potatoes - Yukon Gold, 80 Ct",Sancho,Oliy,$8.69,22
525,"Brocolinni - Gaylan, Chinese",Ganny,Arny,$2.15,72
526,Wine - Chenin Blanc K.w.v.,Athena,Whitman,$6.53,30
527,Table Cloth - 53x69 Colour,Esme,Tybie,$8.94,9
528,Wine - Magnotta - Belpaese,Sorcha,Janeva,$4.89,66
529,Carbonated Water - White Grape,Tarra,Theodoric,$5.80,61
530,Pate - Liver,Nara,Delly,$9.05,59
531,Maintenance Removal Charge,Mattie,Whitman,$3.10,88
532,Bread - Ciabatta Buns,Christoffer,Micheil,$8.63,87
533,Lamb - Bones,Fiona,Ibbie,$0.30,78
534,Pear - Prickly,Nedda,Doyle,$1.59,4
535,"Mushroom - Chantrelle, Fresh",Isabel,Lexis,$2.40,62
536,Flour - So Mix Cake White,Gordie,Cobby,$9.96,76
537,Quail Eggs - Canned,Estevan,Eleonore,$1.24,67
538,"Soup - Knorr, Veg / Beef",Carmelle,Trip,$1.13,47
539,Tea - Decaf Lipton,Regen,Karylin,$1.65,97
540,Flour Pastry Super Fine,Boone,Emmanuel,$0.19,34
541,Pepper - Orange,Tyne,Robbie,$2.59,22
542,Grand Marnier,Hebert,Kaspar,$3.82,67
543,"Bread - Pullman, Sliced",Ingrid,Dorolice,$1.29,66
544,Cheese - Gorgonzola,Karole,Gill,$5.52,66
545,Flour - Chickpea,Glenna,Tarah,$0.55,25
546,"Spoon - Soup, Plastic",Gabriell,Weston,$5.80,25
547,Raisin - Dark,Dulcia,Ali,$1.15,86
548,"Pork - Bacon, Double Smoked",Seline,Caryl,$9.15,76
549,Wine - Dubouef Macon - Villages,Courtnay,Angelico,$2.58,79
550,Pastry - Carrot Muffin - Mini,Florette,Herminia,$0.47,62
551,Hipnotiq Liquor,Prudi,Loralee,$6.48,43
552,"Ice - Clear, 300 Lb For Carving",Erin,Terry,$5.71,14
553,Cake - Night And Day Choclate,Ellsworth,Hilda,$4.26,38
554,Rambutan,Nikkie,Maressa,$1.85,4
555,"Soda Water - Club Soda, 355 Ml",Hynda,Fidel,$8.28,70
556,Oven Mitts - 15 Inch,Lenka,Cecilla,$3.14,14
557,"Juice - Orange, 341 Ml",Maiga,Early,$5.73,17
558,"Tortillas - Flour, 8",Erhard,Bat,$9.16,25
559,Pork Ham Prager,Hilliary,Marla,$0.82,79
560,Chocolate Bar - Smarties,Barthel,Harland,$7.04,89
561,Apricots - Halves,Hynda,Jabez,$5.84,87
562,Tea Leaves - Oolong,Dominga,Melony,$8.91,75
563,Loquat,Deeann,Tess,$7.20,37
564,Scallops 60/80 Iqf,Sutherlan,Nevil,$4.73,59
565,Salt - Celery,Ailee,Mickie,$3.74,40
566,Onions - Cooking,Bryon,Stephine,$2.54,50
567,Parsley - Fresh,Madelaine,Niles,$1.48,53
568,Melon - Watermelon Yellow,Briant,Erhard,$2.01,80
569,"Glass - Wine, Plastic, Clear 5 Oz",Rosco,Elane,$4.53,81
570,Sandwich Wrap,Artur,Ashien,$9.20,16
571,Soup Campbells Turkey Veg.,Nobe,Rosella,$1.63,14
572,"Pasta - Fettuccine, Egg, Fresh",Wolfgang,Sanson,$1.98,75
573,Nestea - Iced Tea,Marvin,Shana,$1.72,58
574,Crab - Meat Combo,Cam,Melodee,$0.24,94
575,Oil - Safflower,Sanford,Lazare,$3.02,9
576,"Appetizer - Spring Roll, Veg",Chere,Fons,$3.27,85
577,Rappini - Andy Boy,Joaquin,Bonny,$4.65,28
578,Transfer Sheets,Devondra,Martyn,$7.02,17
579,Vinegar - White,Berni,Uriah,$5.99,58
580,"Pepsi, 355 Ml",Gus,Nikolai,$0.73,73
581,Pastry - French Mini Assorted,Shadow,Adora,$2.27,26
582,Beer - Muskoka Cream Ale,Georgeanne,Boyd,$3.88,29
583,Shrimp - Prawn,Jimmie,Sophronia,$4.29,54
584,"Brownies - Two Bite, Chocolate",Nicole,Dolly,$9.94,5
585,Vinegar - Tarragon,Kordula,Eadith,$1.46,50
586,Tequila - Sauza Silver,Cindy,Newton,$7.28,13
587,Ecolab Crystal Fusion,Missie,Tremayne,$0.51,35
588,Oil - Macadamia,Louisa,Idell,$9.82,50
589,"Soup - Knorr, Chicken Gumbo",Meredithe,Alick,$5.48,30
590,Shrimp - Black Tiger 8 - 12,Diandra,Kathy,$8.95,22
591,Veal - Leg,Aggi,Marji,$9.00,55
592,Salt - Celery,Gabbi,Alejandra,$9.18,33
593,Chicken - Whole Roasting,Elonore,Georgianna,$3.48,12
594,Pastry - Carrot Muffin - Mini,Nataniel,Crysta,$1.60,7
595,Chocolate - Liqueur Cups With Foil,Judith,Reynard,$0.85,4
596,Ecolab - Hand Soap Form Antibac,Ingelbert,Marlena,$8.12,29
597,"Juice - Cranberry, 341 Ml",Carmina,Hetti,$9.32,74
598,Ice Cream Bar - Hageen Daz To,Shelba,Theodora,$2.19,26
599,Wine - Niagara Peninsula Vqa,Whitby,Marin,$0.78,12
600,Soup - Verve - Chipotle Chicken,Broddie,Latia,$6.46,25
601,Table Cloth 62x120 White,Niles,Amabelle,$0.77,53
602,Quinoa,Dian,Hilario,$8.75,7
603,Tomatoes - Grape,Rebbecca,Tandy,$3.05,17
604,V8 - Tropical Blend,Aurora,Licha,$5.48,42
605,Versatainer Nc - 888,Shel,Felicle,$9.78,95
606,Cheese - Wine,Vinnie,Valentine,$2.28,11
607,"Mushroom - Porcini, Dry",Dione,Chauncey,$9.49,31
608,Soup - Campbells Beef Stew,Chadwick,Kizzie,$0.46,64
609,Squash - Pepper,Geralda,Gustaf,$9.26,51
610,"Wine - Red, Antinori Santa",Nicoli,Rudie,$0.32,84
611,Pickles - Gherkins,Dimitry,Jemima,$8.69,2
612,Remy Red,Esdras,Adriaens,$5.18,11
613,Lotus Leaves,Janela,Antoine,$8.13,79
614,Onions - Green,Kettie,Nola,$6.32,3
615,Bread Base - Italian,Carine,Marcel,$1.31,99
616,Veal - Liver,Garvin,Glyn,$0.22,85
617,Tomatoes - Hot House,Ashli,Amy,$5.28,39
618,Otomegusa Dashi Konbu,Misti,Modestia,$0.03,14
619,Marjoram - Fresh,Hakim,Caesar,$9.62,64
620,Browning Caramel Glace,Eadmund,Issiah,$3.59,2
621,Skewers - Bamboo,Clarine,Ezra,$4.57,77
622,Appetizer - Escargot Puff,Spencer,Schuyler,$9.95,94
623,Peach - Fresh,Ody,Consuela,$4.91,12
624,Lettuce - Green Leaf,Woody,Mauricio,$1.14,62
625,Cookie Chocolate Chip With,Talbot,Arte,$3.32,10
626,Zucchini - Yellow,Elsy,Karlik,$1.15,92
627,Wine - Jackson Triggs Okonagan,Ines,Westleigh,$5.34,14
628,Artichokes - Jerusalem,Kippy,Rutger,$5.18,77
629,Cinnamon - Stick,Grayce,Arnold,$4.95,92
630,Pasta - Orecchiette,Kingston,Tabby,$3.89,32
631,Coffee - 10oz Cup 92961,Susette,Candy,$9.36,36
632,"Trout - Rainbow, Frozen",Christie,Jaquelyn,$6.27,91
633,Food Colouring - Orange,Devinne,Mitzi,$3.64,64
634,Icecream Cone - Areo Chocolate,Riannon,Zarla,$3.77,6
635,Liners - Baking Cups,Carissa,Denise,$4.87,55
636,Lid Tray - 12in Dome,Wallis,Tybalt,$4.39,68
637,Kohlrabi,Nancey,Benjy,$3.96,64
638,Oil - Sesame,Thedric,Smitty,$0.59,19
639,Yoplait - Strawbrasp Peac,Brunhilde,Mar,$2.63,5
640,Nut - Pumpkin Seeds,Kirsti,Miguela,$8.11,37
641,Wine - Port Late Bottled Vintage,Morgan,Karla,$5.02,92
642,Appetiser - Bought,Gertrude,Dasi,$7.85,8
643,Pastry - Apple Large,Rozella,Ninnetta,$8.11,44
644,Muffin Chocolate Individual Wrap,Benny,Prescott,$4.74,93
645,Wine - Niagara Peninsula Vqa,Carmine,Matelda,$3.20,73
646,Cod - Black Whole Fillet,Dedra,Patricio,$9.47,10
647,Flower - Commercial Bronze,Horten,Twyla,$4.47,50
648,"Sauce - Black Current, Dry Mix",Salomo,Britt,$3.41,28
649,Potatoes - Mini Red,Shalna,Arman,$6.54,93
650,Wine - Casillero Deldiablo,Katinka,Kristin,$1.38,49
651,Herb Du Provence - Primerba,Hesther,Cecilla,$6.48,2
652,"Wine - White, Pinot Grigio",Aloysius,Nanny,$6.34,54
653,Wine - Gewurztraminer Pierre,Felicity,Morganica,$5.25,68
654,"Mushroom - Enoki, Dry",Helena,Andreana,$5.43,36
655,Muffin - Mix - Creme Brule 15l,Kain,Thomas,$7.39,43
656,Magnotta - Bel Paese White,Lalo,Natasha,$3.41,33
657,Nantucket Orange Juice,Cherry,Gae,$1.79,24
658,Ham - Cooked Italian,Lorraine,Allene,$3.05,7
659,Cranberries - Frozen,Asa,Andy,$0.31,31
660,Bread - Wheat Baguette,Lloyd,Kelsy,$8.34,95
661,Cloves - Whole,Aline,Donia,$7.28,98
662,Tomatoes,Ethyl,Conchita,$8.11,95
663,Oil - Sesame,Edd,Dickie,$6.11,27
664,Soup Campbells - Italian Wedding,Hetti,Moishe,$0.80,89
665,Cabbage - Green,Zebadiah,Panchito,$0.91,2
666,Towel Dispenser,Skye,Alicia,$0.56,73
667,Bagel - Ched Chs Presliced,Maxi,Sigismondo,$2.24,63
668,"Beef - Cooked, Corned",Marlee,Jarret,$5.15,18
669,Beef - Top Sirloin,Elsworth,Davita,$1.70,19
670,Soup Campbells Mexicali Tortilla,Zollie,Leopold,$2.56,47
671,Radish - Pickled,Dionysus,Reggi,$8.46,100
672,Oil - Sesame,Tallulah,Gretchen,$9.10,64
673,Lamb - Shanks,Leola,Timothy,$6.50,75
674,Flour - Cake,Pamelina,Hamel,$2.05,93
675,Lamb - Rack,Emmie,Nathalie,$0.77,45
676,Creamers - 10%,Gaultiero,Aldin,$4.97,76
677,Cheese - Pont Couvert,Ruthanne,Daisy,$2.85,60
678,Couscous,Alisun,Derril,$6.89,31
679,"Wine - Red, Colio Cabernet",Nickie,Garek,$3.62,96
680,Pate Pans Yellow,Gerda,Karee,$4.18,38
681,Lettuce - Lolla Rosa,Katharine,Russell,$2.77,65
682,Milk 2% 500 Ml,Jewel,Delora,$6.98,13
683,Chocolate - Dark Callets,Ailina,Louise,$0.95,73
684,"Melon - Watermelon, Seedless",Donnie,Lorilee,$2.66,40
685,Mince Meat - Filling,Emmet,Elizabeth,$8.02,26
686,Rabbit - Legs,Debera,Frankie,$8.25,43
687,Island Oasis - Wildberry,Martin,Naomi,$0.03,36
688,Cookies Cereal Nut,Wallis,Matthus,$5.31,72
689,Sour Puss - Tangerine,Selma,Marie-jeanne,$6.73,75
690,Sauce - Roasted Red Pepper,Jessie,Melissa,$1.11,81
691,"Brandy - Orange, Mc Guiness",Jimmy,Alys,$9.91,98
692,Cod - Fillets,Eudora,Darren,$6.75,92
693,Oil - Grapeseed Oil,Nicolais,Pepita,$9.32,33
694,Crab Meat Claw Pasteurise,Myron,Michail,$2.21,94
695,Cheese Cloth No 60,Monty,Karmen,$0.52,94
696,Tomato Puree,Rivkah,Coleen,$2.54,62
697,Pie Filling - Cherry,Lezlie,Marga,$1.89,13
698,Sausage - Liver,Page,Kaycee,$4.53,79
699,Island Oasis - Strawberry,Jobey,Reinhold,$6.78,23
700,Onions - Spanish,Reinald,Quincey,$3.24,20
701,Sage Ground Wiberg,Stewart,Juliana,$9.57,81
702,Dish Towel,Marigold,Leda,$9.32,87
703,Eggplant Italian,Tarra,Peria,$4.28,54
704,The Pop Shoppe - Cream Soda,Anthony,Ranee,$8.19,100
705,Wine - Pinot Noir Latour,Ethelin,Carlyle,$3.00,55
706,Coffee - Decafenated,Pavla,Quintina,$1.69,29
707,Fenngreek Seed,Archer,York,$4.56,12
708,"Bread - Rolls, Rye",Karissa,Zena,$2.29,80
709,"Shrimp - Baby, Warm Water",Edeline,Elka,$9.58,83
710,"Soup - Campbells, Creamy",Marietta,Marmaduke,$4.41,30
711,Wine - Chardonnay South,Gabbey,Terrance,$0.94,76
712,"Beans - Kidney, Red Dry",Carie,Nathaniel,$6.80,42
713,Sprouts - Bean,Muriel,Ruprecht,$1.62,69
714,Syrup - Pancake,Pippo,Marietta,$2.38,51
715,"Beef - Tenderlion, Center Cut",Spense,Walker,$8.73,32
716,Limes,Laina,Fiorenze,$0.57,15
717,Apple - Granny Smith,Ursa,Vaughan,$8.56,9
718,"Wine - White, Pinot Grigio",Desdemona,Pris,$7.55,69
719,Crackers - Water,Stearne,Ferrel,$7.11,38
720,Juice - Lime,Clary,Lesley,$7.00,15
721,Chicken - Leg / Back Attach,Corbet,Marius,$1.40,78
722,"Turkey - Breast, Boneless Sk On",Rock,Sibbie,$6.51,56
723,"Beans - Black Bean, Dry",Ilka,Ottilie,$6.34,84
724,Chocolate - Compound Coating,Gregorius,Ludovico,$7.39,15
725,Puff Pastry - Sheets,Andrea,Lorna,$7.83,7
726,"Wine - White, Pinot Grigio",Juli,Leah,$2.27,100
727,Oil - Peanut,Meredeth,Alan,$9.05,61
728,Flour - Fast / Rapid,Kristal,Margarette,$3.80,12
729,Chef Hat 20cm,Patience,Shadow,$1.47,64
730,Cheese - Blue,Christian,Vonni,$5.95,66
731,"Cherries - Maraschino,jar",Bryna,Kristan,$5.23,41
732,Swordfish Loin Portions,Lurline,Terry,$8.41,43
733,Lotus Root,Dodi,Sanderson,$5.16,1
734,Pork - Kidney,Karrie,Noland,$9.80,2
735,Pie Box - Cello Window 2.5,Jammie,Flynn,$0.94,36
736,"Carrots - Purple, Organic",Dela,Helaine,$5.54,82
737,Apricots Fresh,Bjorn,Haleigh,$7.80,41
738,"Crush - Orange, 355ml",Birk,Ebony,$1.99,77
739,"Pasta - Shells, Medium, Dry",Sioux,Charis,$7.40,16
740,Appetiser - Bought,Andros,Dwight,$3.96,64
741,Wine - Manischewitz Concord,Lorri,Gwyneth,$8.91,44
742,Lettuce - Curly Endive,Putnam,Rozalie,$6.47,56
743,Cup - Paper 10oz 92959,Annelise,Sibby,$5.14,87
744,Bread Crumbs - Japanese Style,Aridatha,Meggi,$0.95,41
745,Jolt Cola,Kristal,Nariko,$0.28,83
746,Bacardi Mojito,Ketty,Aubert,$7.09,66
747,"Artichoke - Hearts, Canned",Mabelle,Isabel,$6.00,99
748,Mushroom - Portebello,Andres,Ferdinande,$7.31,52
749,Juice - Mango,Edgard,Cathie,$9.67,50
750,Scrubbie - Scotchbrite Hand Pad,Pincas,Eddy,$6.62,76
751,Flour - Whole Wheat,Garwood,Curtice,$8.71,23
752,Sugar - Brown,Son,Sarajane,$7.45,1
753,Pastry - Choclate Baked,Martino,Lamond,$8.15,75
754,Danishes - Mini Raspberry,Virgil,Marja,$1.53,88
755,Dome Lid Clear P92008h,Binni,Humfried,$4.89,64
756,"Stock - Beef, Brown",Lyell,Georgeta,$2.81,59
757,Durian Fruit,Avery,Wallis,$7.38,31
758,Straws - Cocktale,Doll,Marigold,$2.55,2
759,Sesame Seed,Earlie,Amber,$9.31,91
760,Langers - Cranberry Cocktail,Tess,Everett,$2.09,49
761,Longos - Chicken Cordon Bleu,Fionna,Carena,$7.58,38
762,Salt - Sea,Pepi,Linn,$1.99,72
763,"Pail - 15l White, With Handle",Barby,Lemar,$6.95,38
764,Sugar - Monocystal / Rock,Dominik,Maureen,$4.00,39
765,Cake - Cheese Cake 9 Inch,Kyle,Fernando,$9.30,1
766,Breakfast Quesadillas,Willi,Patrica,$4.19,36
767,"Pasta - Rotini, Colour, Dry",Kelsy,Talbot,$1.67,10
768,Beans - Wax,Alli,Ginni,$8.38,34
769,Cheese - Camembert,Derby,Roanna,$5.51,98
770,Wine - Malbec Trapiche Reserve,Zeb,Burty,$0.64,76
771,Chicken - Whole,Alford,Wesley,$8.96,55
772,Water - Spring 1.5lit,Krystle,Codie,$2.19,78
773,Hot Choc Vending,Christian,Riannon,$0.81,50
774,Beef - Top Butt Aaa,Gerrie,Deni,$7.10,84
775,Beer - Fruli,Micky,Ari,$5.77,2
776,Glass Clear 8 Oz,Augustina,Rees,$8.49,97
777,Straws - Cocktale,Kirby,Glen,$6.92,32
778,Seabream Whole Farmed,Lennie,Kim,$8.07,95
779,Sambuca Cream,Sukey,Alison,$6.97,53
780,Wine - Clavet Saint Emilion,Hamish,Jacinda,$1.19,90
781,Wine - Balbach Riverside,Arvy,Godwin,$3.21,89
782,"Pork - Bacon, Sliced",Lethia,Collin,$1.02,38
783,Capers - Pickled,Mile,Gabey,$4.72,47
784,Wine - Savigny - Les - Beaune,Winnie,Red,$8.76,42
785,Yeast Dry - Fermipan,Basil,Kimberlee,$2.29,66
786,Chips Potato Swt Chilli Sour,Kaye,Ethyl,$9.06,12
787,"Vermacelli - Sprinkles, Assorted",Tiphanie,Felisha,$3.94,34
788,Wine - Jafflin Bourgongone,Georgianne,Eduard,$2.28,82
789,Mountain Dew,Jewel,Stesha,$7.44,77
790,Bonito Flakes - Toku Katsuo,Alvera,Steffane,$1.87,45
791,Creme De Banane - Marie,Maribeth,Yorke,$7.73,10
792,Puree - Mocha,Janine,Catherine,$5.61,42
793,Cheese - Pont Couvert,Valerie,Dyan,$2.02,35
794,Appetiser - Bought,Annamarie,Lebbie,$4.41,4
795,Cape Capensis - Fillet,Deana,Ashton,$1.72,60
796,"Juice - Clam, 46 Oz",Nicola,Marlee,$6.38,18
797,Emulsifier,Stevena,Ferne,$8.58,34
798,Lychee,Danya,Alejandro,$5.02,61
799,"Garlic - Primerba, Paste",Lamont,Verena,$3.18,83
800,Mahi Mahi,Huey,Alicia,$6.05,50
801,"Turkey - Breast, Bone - In",Maisey,Dominica,$10.00,44
802,Scallops 60/80 Iqf,Shannon,Rebekkah,$2.66,11
803,Cookies - Assorted,Hamlin,Theobald,$0.52,41
804,Cod - Fillets,Bobby,Genni,$4.70,14
805,Zucchini - Green,Klaus,Maridel,$7.93,32
806,"Chicken - Diced, Cooked",Lucienne,Gilberto,$9.63,99
807,Olives - Nicoise,Vivienne,Claudianus,$4.53,9
808,Green Tea Refresher,Selle,Izak,$6.36,52
809,Carbonated Water - Peach,Kerry,Alexis,$9.69,53
810,Wine - Segura Viudas Aria Brut,Ganny,Jennica,$2.92,28
811,Potato - Sweet,Madonna,Sigfrid,$7.30,45
812,Muffin Hinge - 211n,Rosanna,Morey,$5.93,94
813,"Coconut - Shredded, Unsweet",Joane,Ardelia,$6.53,20
814,Pears - Bartlett,Franny,Mabelle,$7.69,2
815,Goat - Leg,Sebastiano,Burr,$0.27,6
816,Salmon - Canned,Geoffrey,Ad,$2.86,67
817,Anchovy Fillets,Brigham,Andeee,$7.02,60
818,Dried Cranberries,Teodoro,Terese,$9.56,27
819,Towels - Paper / Kraft,Cedric,Anett,$1.25,48
820,Pork - Hock And Feet Attached,Emiline,Lillis,$4.64,95
821,Lettuce - Radicchio,Octavia,Matt,$7.24,86
822,Orange - Blood,Prent,Zorina,$3.70,72
823,Energy - Boo - Koo,Stella,Gearard,$0.90,89
824,Fennel - Seeds,Inge,Davis,$2.88,12
825,"Cherries - Bing, Canned",Dwight,Lorna,$0.72,12
826,Sage - Rubbed,Gearalt,Marissa,$0.59,13
827,Ecolab - Mikroklene 4/4 L,Quintina,Sayres,$5.25,23
828,Truffle Shells - White Chocolate,Mort,Torey,$9.28,97
829,Cheese - Bocconcini,Coralyn,Anstice,$3.74,31
830,Kiwi Gold Zespri,Opal,Doti,$3.46,43
831,Soup - Base Broth Beef,Marcel,Margalo,$9.18,40
832,Soupcontfoam16oz 116con,Gail,Giselbert,$9.30,1
833,Oranges,Betta,Carina,$2.65,86
834,Water - Perrier,Berry,Lexis,$8.89,24
835,Pork - Shoulder,Car,Stearne,$2.14,72
836,Spinach - Packaged,Brandi,Mickey,$3.44,72
837,Liqueur - Melon,Donnie,Florentia,$0.62,88
838,"Trout - Hot Smkd, Dbl Fillet",Fritz,Clotilda,$8.85,84
839,Drambuie,Bud,Dee dee,$1.72,3
840,Longos - Greek Salad,Jess,Katharine,$7.26,33
841,Ecolab - Solid Fusion,Emmaline,Woodie,$0.42,75
842,Sausage - Meat,Andie,Dolf,$9.25,91
843,Carroway Seed,Luisa,Marcile,$2.50,81
844,Steam Pan Full Lid,Seline,Rina,$8.80,68
845,Beans - Green,Brandea,Tadio,$0.97,59
846,"Stock - Beef, Brown",Tuesday,Hollie,$4.09,38
847,Cocoa Powder - Natural,Ethel,Kayne,$6.44,77
848,Mortadella,Lothario,Euphemia,$9.10,53
849,Sprouts - Corn,Quinton,Nichol,$8.39,40
850,Duck - Fat,Colly,Patsy,$3.60,81
851,Soup Campbells - Tomato Bisque,Hanan,Agatha,$2.97,47
852,Alize Red Passion,Win,Adan,$1.01,36
853,"Vermouth - Sweet, Cinzano",Ebonee,Garrard,$1.85,26
854,Bread - Ciabatta Buns,Vickie,Abbey,$6.48,63
855,Dragon Fruit,Fredericka,Victoir,$5.45,67
856,"Turkey - Breast, Boneless Sk On",Corenda,Eugine,$3.22,26
857,Juice - Cranberry 284ml,Rodie,Ronna,$5.06,24
858,Foam Tray S2,Joelly,Aurore,$7.68,66
859,Sambuca Cream,Eran,Rosaline,$0.91,22
860,Cocktail Napkin Blue,Symon,Torre,$5.60,45
861,Salmon Steak - Cohoe 6 Oz,Thibaut,Falito,$2.68,83
862,Sugar - Fine,Alix,Timmy,$5.61,14
863,Rhubarb,Harv,Valina,$6.51,79
864,Assorted Desserts,Guthrey,Isa,$4.93,50
865,Oregano - Fresh,Mina,Ilise,$4.67,74
866,Cardamon Ground,Inglis,Marcelia,$3.34,41
867,"Pork - Tenderloin, Fresh",Yetty,Prent,$0.42,83
868,Grouper - Fresh,Shari,Ronnie,$2.62,27
869,The Pop Shoppe - Grape,Hali,Molly,$2.72,86
870,Fennel - Seeds,Donna,Dallas,$7.12,71
871,Table Cloth 62x114 Colour,Chaim,Esmaria,$2.97,70
872,Mix - Cappucino Cocktail,Elfrida,Francois,$2.87,65
873,"Soup - Campbells, Minestrone",Minni,Vasily,$4.46,56
874,Cheese - Perron Cheddar,Ragnar,Edith,$9.68,31
875,Dried Figs,Rolland,Natty,$9.05,3
876,Dish Towel,Sharity,Janet,$1.60,9
877,Nacho Chips,Carolus,Nevin,$3.24,67
878,Chicken - Ground,Wiatt,Brand,$8.35,57
879,Wine - Two Oceans Sauvignon,Davon,Ashia,$1.85,46
880,Sage - Ground,Rollo,Robina,$4.81,28
881,Lemon Grass,Karyn,Vassily,$0.18,14
